client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
7138cf9bcf4d12a2577e7960d79f06b7e3524e5f172209d2a30327fd8e6bb5015f42da7b6689f84453f026a5e32512ff8a02847bb84110d39a411f125f93a5e3	common_voice_pl_20547905.mp3	052dd5cac32a1ac978b8514e0d806c8f8d210346f93585f8c2b6b7f8802b1c4a	Jakiś stół, ława, dwa zydle i łóżko.		0	2	twenties	male_masculine			pl	
c7db5937044156542dd8061fdb05fc513929ec479bbe30569cbad19cc480d8c59bf98e108b645804cdd48dd28808816e17db18a3209bb7aa1d586ddd47e0ad6e	common_voice_pl_20551618.mp3	03226be89631514e2d29ec3654e572d88d2013d079fe30851d47b60e46b00af6	Nauczyciel nigdy nie powie, czy lubi, ale się to czuje.		0	2					pl	
c7db5937044156542dd8061fdb05fc513929ec479bbe30569cbad19cc480d8c59bf98e108b645804cdd48dd28808816e17db18a3209bb7aa1d586ddd47e0ad6e	common_voice_pl_20551619.mp3	1078a30f745b9b2e39e24e5d9df1f8552ff9b129394b06ddea44bec3e4166210	Rozumiem, że to zależy od kategorii, ale powiedz.		0	2					pl	
c7db5937044156542dd8061fdb05fc513929ec479bbe30569cbad19cc480d8c59bf98e108b645804cdd48dd28808816e17db18a3209bb7aa1d586ddd47e0ad6e	common_voice_pl_20551621.mp3	08f4526c71cee97021ae419d4841a05f24a391af6cccaa4271346b750930b3de	Jednak przeważnie widziałem je leżące w łóżkach.		0	2					pl	
c7db5937044156542dd8061fdb05fc513929ec479bbe30569cbad19cc480d8c59bf98e108b645804cdd48dd28808816e17db18a3209bb7aa1d586ddd47e0ad6e	common_voice_pl_20551623.mp3	082d10c2420ac7c485d9938b80d8670a61ec4bc1b2ef56b948bee3bd9af2f5f5	Weźcie pod uwagę ilość popularyzujących dzieł w Niemczech.		0	2					pl	
c7db5937044156542dd8061fdb05fc513929ec479bbe30569cbad19cc480d8c59bf98e108b645804cdd48dd28808816e17db18a3209bb7aa1d586ddd47e0ad6e	common_voice_pl_20551624.mp3	0193cae9c833295d5b1b1834f335457fedfc8aa5573b4cd654ce20707574a3a8	Kilka osób rzuciło się nawet w pogoń za zbiegłą.		0	2					pl	
c7db5937044156542dd8061fdb05fc513929ec479bbe30569cbad19cc480d8c59bf98e108b645804cdd48dd28808816e17db18a3209bb7aa1d586ddd47e0ad6e	common_voice_pl_20551626.mp3	08163ce2e8be3fbb8f19cc3cf5d339c3c2e1878e9268de6369efc87431bedd59	Poeta śpiewał, król nasłuchiwał, a wszyscy obecni głośno objawiali swój zachwyt.		1	2					pl	
c7db5937044156542dd8061fdb05fc513929ec479bbe30569cbad19cc480d8c59bf98e108b645804cdd48dd28808816e17db18a3209bb7aa1d586ddd47e0ad6e	common_voice_pl_20551627.mp3	0979684b42db13971afcec9d143bbcae809700e8c0f692610c109988b693c853	Pamięta doskonale: kiedyś przeziębił się — przyszło zapalenie płuc.		1	2					pl	
7138cf9bcf4d12a2577e7960d79f06b7e3524e5f172209d2a30327fd8e6bb5015f42da7b6689f84453f026a5e32512ff8a02847bb84110d39a411f125f93a5e3	common_voice_pl_20554794.mp3	1780f6575b1ed92d29017d0bf95d13c897e38f7b1fdc32d8ec8abdf6f3faba0c	Bawił się, idąc ulicą, jak mu się nudziło, w kolej.		0	2	twenties	male_masculine			pl	
7138cf9bcf4d12a2577e7960d79f06b7e3524e5f172209d2a30327fd8e6bb5015f42da7b6689f84453f026a5e32512ff8a02847bb84110d39a411f125f93a5e3	common_voice_pl_20555524.mp3	02a182325c39f0ed4e2abf072735212b72b7229f6b829caa99cb9edd9447dd25	Jestem na nartach.		0	2	twenties	male_masculine			pl	
a9f316701e436592d1abc7bf8367c7aa5a8972c390f5eda022fee9bbf08fc18ff4a6a66024a19f0f4f66d666cde5ea5f7b315c681b4b9ef0359701d8281a844e	common_voice_pl_20555604.mp3	15ea5f77f426025450da7d69b1952a4873d25239d734610ef3387f23880486e4	Był wtedy blisko stolicy, widział, wiedział i rozumiał wszystko.		1	2	thirties	male_masculine			pl	
7138cf9bcf4d12a2577e7960d79f06b7e3524e5f172209d2a30327fd8e6bb5015f42da7b6689f84453f026a5e32512ff8a02847bb84110d39a411f125f93a5e3	common_voice_pl_20555647.mp3	019337ec4a6e42fdeeab464ec07e1b310b8a0ba247bb6ea982220da7ef72d44c	— Jak ci na imię?		1	2	twenties	male_masculine			pl	
a9f316701e436592d1abc7bf8367c7aa5a8972c390f5eda022fee9bbf08fc18ff4a6a66024a19f0f4f66d666cde5ea5f7b315c681b4b9ef0359701d8281a844e	common_voice_pl_20555721.mp3	099e2edf1f1fae4c124b7ad637b96fec2e336a3098bf6d78829ce990e2e97ce6	Niech no by go spytał o paszport ten przechodzący patrol…		0	2	thirties	male_masculine			pl	
a9f316701e436592d1abc7bf8367c7aa5a8972c390f5eda022fee9bbf08fc18ff4a6a66024a19f0f4f66d666cde5ea5f7b315c681b4b9ef0359701d8281a844e	common_voice_pl_20555760.mp3	1f627861ebe0ce7cb909d022e8713159329be55df41ee4304f00b1ae1e380294	A dozorca uderzył batem w ławkę.		1	2	thirties	male_masculine			pl	
dea7a69b85dec11b459bcc395d9fb50cc22324e7ebbb6c52c61643b8ccad6b95827ca30469e55c4398dc2d8940e69173ed75707d426adb273d5be1f7cf88f29e	common_voice_pl_20558717.mp3	2749b319638331f46969412f146030e9b79d7da9ec412e38697625824f9be753	Chyba siedzieć całą noc z otwartymi oczami.		1	2	teens	male_masculine			pl	
072ca027bb3d3405b579eacccb2d493ba79d29903ffc059eb28bdaa929dd4c1bc0e8675daeddb7bf070fa09cf1b98987fc8ecc47206f936415c7b17dd2c748d1	common_voice_pl_20589447.mp3	2ad31c4f28a19453ff58f53cafcf2860395089719408a943ef78060c71bee0c6	Wyglądała najwyżej na lat dwadzieścia.		0	2	twenties	male_masculine			pl	
b1fc1ae975d3f14e8d7a508d7052b41069e3f3b93f41d8738f9dd9d92956cd7fe5c0ae740f0ecfce857e82ae432ede43146ecd6fd43cd72c1a8332c5e1e4c98c	common_voice_pl_20600475.mp3	1defb1fcc7406e65cf316b389558e56b076b9a40f398e75e9707808951796a83	Są, zdaje się, w jednym wie ku.		1	2	fourties	male_masculine			pl	
be4513414d8140e5fb6891792b55a48aa305d20a9abaf2ca411881eff1586205100d835cd0d4c944ea5f4d70ac12847f9d5c886357ca74708c76a2f4d5ee3c88	common_voice_pl_20602611.mp3	2c47c5101b4c4d2c4341253c76cb1c088a9322e7811f753e3a85b59b632649e1	— Tobie je składam w ofierze, o piękny, połyskujący płomieniu.		0	3					pl	
797d3b48a6499af87e22ec33b94c86abe18baed19624c40264d5e47aeed72169ecced7a755a3c2bd19fde54c385c1d6a55925d67d0b14eb6e507724fb08e7b13	common_voice_pl_20602944.mp3	2a26c3c927087531469d9a96d3f6f3c4eb682e74e781602019c83e7490689be3	Przeszła mimo jak symbol cierpienia i śmieszności splecionych w tragiczny węzeł.		2	3					pl	
